302	0	0.0304, 0.0
343	0	0.0, 0.0
262	0	0.0, 0.0
374	0	11.2, 0.0
2	0	0.0, 0.0
213	0	0.0, 0.0
215	0	0.31551, 0.0
366	0	6.7, 0.0
373	0	40.0, 0.0
230	0	0.22599999999999998, 0.0
64	0	2.0665, 0.0
108	0	0.012, 0.0
135	0	0.0, 0.0
195	0	0.033, 0.0
240	0	3.0, 0.0
267	0	0.0054, 0.0
38	0	15.43, 0.0
67	0	0.0, 0.0
276	0	0.0, 0.0
304	0	13.837866666666669, 0.0
131	0	0.9, 0.0
266	0	0.47075, 0.0
107	0	0.0, 0.0
204	0	0.1071, 0.0
119	0	0.865, 0.0
118	0	0.05, 0.0
207	0	1.0, 0.0
37	0	0.0, 0.0
0	0	0.0243, 0.0
352	0	0.0, 0.0
93	0	1.62, 0.0
248	0	0.0, 0.0
296	0	53.0, 0.0
185	0	2.02, 0.0
191	0	2.0, 0.0
167	0	0.4288, 0.0
279	0	0.0, 0.0
319	0	1.47, 0.0
165	0	8.0, 0.0
376	0	0.00428, 0.0
211	0	5.0, 0.0
222	0	0.0, 0.0
79	0	0.008, 0.0
237	0	0.0, 0.0
367	0	0.077, 0.0
150	0	2.1, 0.0
189	0	0.77, 0.0
126	0	0.0, 0.0
155	0	13.5, 0.0
171	0	8.7, 0.0
178	0	0.0, 0.0
332	0	0.048, 0.0
110	0	0.0089, 0.0
88	0	5.0, 0.0
